"checkout","Checkout"
"cart","Warenkorb"
"cms","CMS-Seite"
"catalogsearch","Suche"
"product_compare","Produktvergleich"
"result","Ergebnis"
"Order Success","Bestellung"
"Discount","Rabatt"
"Discounts","Rabatte"
"Coupons","Gutscheine"
"Account Key 1","Account-Schlüssel 1"
"Please enter the account key here to overall enable tracking. You'll find the key online in Settings > Setup/Tracking code > etracker account key 1.","Bitte geben Sie hier den Account-Schlüssel ein, um das Tracking generell zu ermöglichen. Sie finden den Account-Schlüssel online unter <b>Einstellungen > Setup/Tracking Code > etracker Account- Schlüssel 1</b>"
"Account Key 2","Account-Schlüssel 2"
"Please request this account key from etracker.","Bitte fordern Sie diesen diesen Account-Schlüssel bei etracker an."
"Submit prices/amounts","Übergabe von Preisen/Beträgen"
"Tracking Settings","Einstellungen zum Tracking"
"Integrate tracking code 4.0?","Tracking Code 4.0 integrieren?"
"Tracking Code 4.0 offers more failure safety than earlier versions and is absolutely necessary for using etracker Page Optimizer. Please remove any other etracker code from your website prior to the integration. When choosing 'No' please ensure integrated  standard tracking OR existing tracking code equal or greater version 3.0","Der Tracking Code 4.0 bietet mehr Ausfallsicherheit als frühere Versionen und ist zwingend erforderlich, wenn Sie etracker Page Optimizer nutzen. Bitte entfernen Sie vor der Integration andere etracker Codes von Ihrer Website. Bei Wahl von 'Nein' bitte sicherstellen, dass ein Standard Tracking Code integriert ist ODER die existierende Tracking Code Version 3.0 oder höher ist."
"Activate StoreView code as area prefix?","StoreView Code als Area-Präfix aktivieren?"
"Only necessary for etracker Suites. Should the StoreView code be set as prefix to the area path? Example: 'UK/products/product_a' instead of 'products/product_a', if your StoreView code is 'UK'.","Nur für etracker Suites erforderlich. Soll der StoreView Code als Präfix vor den Area-Pfad gesetzt werden? Beispiel: 'UK/products/product_a' statt 'products/product_a', wenn Ihr StoreView Code 'UK' ist."
"Enable PPR?","PPR aktivieren?"
"If enabled, please ensure integrated standard tracking (above) OR existing tracking code equal or greater version 3.0.","Bei Aktivierung bitte sicherstellen, dass der Standard-Tracking-Code integriert ist (siehe oben) ODER die existierende Tracking Code Version 3.0 oder höher integriert ist."
"Activate debug?","Debug aktivieren?"
"If activated, debug data is printed to the browser console (instead of submitting it to etracker).","Bei Aktivierung werden die Debug-Daten in der Browser-Konsole ausgegeben (anstatt sie an etracker zu senden)."
"Activate logging?","Protokollierung aktivieren?"
"If activated, log will be written to file 'etracker.log'.","Bei Aktivierung wird das Protokoll in die Datei 'etracker.log' geschrieben."


